company_id,record_id,company_name,open_win,open_draw,open_lose,open_win_prob,open_draw_prob,open_lose_prob,open_payout_rate,cur_win,cur_draw,cur_lose,cur_win_prob,cur_draw_prob,cur_lose_prob,cur_payout_rate,kelly_win,kelly_draw,kelly_lose,change_time,label,flag1,flag2,hist_kelly_win,hist_kelly_draw,hist_kelly_lose
974,151032102,VBet,2.65,3.05,2.41,33.69,29.27,37.04,89.27,2.56,3.18,2.53,35.5,28.58,35.92,90.88,0.91,0.95,0.88,"2026,03-1,05,07,02,00",VBe*(库拉索),0,0,0.94,0.91,0.84
1309,151024940,Vbet.UKR,2.74,3.15,2.48,33.62,29.24,37.14,92.11,2.52,3.12,2.87,37.23,30.07,32.69,93.83,0.89,0.93,1.00,"2026,03-1,06,23,13,00",Vbe*(乌克兰),0,0,0.97,0.94,0.86
113,151025035,Veikkaus,2.44,3.05,2.68,36.89,29.52,33.59,90.02,2.68,3.09,2.54,34.22,29.68,36.1,91.7,0.95,0.92,0.88,"2026,03-1,06,22,26,00",Veikk*(芬兰),0,0,0.86,0.91,0.93
1405,150942802,Velobet,2.22,3.13,2.85,40.19,28.51,31.31,89.22,2.51,3.15,2.75,36.91,29.41,33.69,92.64,0.89,0.94,0.96,"2026,03-1,06,23,13,00",Velobe*,0,0,0.79,0.93,0.99
1421,150963699,Winbay,2.35,3.3,2.95,39.86,28.39,31.75,93.67,2.55,3.2,2.9,37.37,29.78,32.86,95.28,0.90,0.95,1.01,"2026,03-1,06,23,13,00",Winba*,0,0,0.83,0.98,1.03
1301,151102793,Winline.ru,2.65,3.2,2.65,35.36,29.28,35.36,93.7,2.6,3.25,2.85,36.87,29.5,33.64,95.86,0.92,0.97,0.99,"2026,03-1,06,23,13,00",Winlin*.ru(俄罗斯),0,0,0.94,0.95,0.92
1070,150942797,WinlineBet,2.31,3.3,3,40.49,28.34,31.17,93.52,2.6,3.25,2.85,36.87,29.5,33.64,95.86,0.92,0.97,0.99,"2026,03-1,06,23,13,00",Winline*,0,0,0.82,0.98,1.04
1417,151024944,Winspirit,2.65,3.05,2.41,33.69,29.27,37.04,89.27,2.63,2.96,2.61,34.53,30.68,34.79,90.81,0.93,0.88,0.91,"2026,03-1,06,11,37,00",Winspiri*,0,0,0.94,0.91,0.84
1262,151028839,WPlay,2.64,3,2.64,34.72,30.56,34.72,91.67,2.76,3.05,2.5,33.23,30.07,36.69,91.73,0.98,0.91,0.87,"2026,03-1,06,22,26,00",WPla*,0,0,0.94,0.89,0.92
1361,151208605,Фонбет,2.75,3,2.45,32.9,30.16,36.93,90.49,2.45,3,2.7,36.71,29.98,33.31,89.94,0.87,0.89,0.94,"2026,03-1,06,23,12,00",Фонбе*,0,0,0.97,0.89,0.85
